yyyyq,index,d12,e12,b_m,tbl,aaa,baa,lty,cay,ntis,rfree,infl,ltr,corpr,svar,csp,ik,crsp_s_pvw,crsp_s_pvwx,d3,e3
18781,3.24,0.1875,0.3025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010951912976187694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18782,3.41,0.185,0.305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00904124143159013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18783,3.52,0.1825,0.3075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007805790401764989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18784,3.45,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01047066265704033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18791,3.65,0.185,0.3275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008671417142801952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18792,3.96,0.19,0.345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009367124461871379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18793,4.22,0.195,0.3625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01018078307215009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18794,4.92,0.2,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012329880944447646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18801,5.3,0.215,0.4075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010885404693318002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18802,4.79,0.23,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01018167697281469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18803,5.18,0.245,0.4625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009796746172642479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18804,5.84,0.26,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011159231030349881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18811,6.24,0.275,0.4775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010877984199702206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18812,6.58,0.29,0.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008338033914683907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18813,6.25,0.305,0.4525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009736930805796185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18814,6.01,0.32,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012818976529485715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18821,5.78,0.32,0.4375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011196470967913763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18822,5.68,0.32,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010026425613318013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18823,6.24,0.32,0.4325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0114989361412563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18824,5.84,0.32,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013004061029986858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18831,5.75,0.3225,0.4225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011677628999146483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18832,5.82,0.325,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01123345378480245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18833,5.53,0.3275,0.4075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011033114930254273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18834,5.34,0.33,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011626029138281258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18841,5.3,0.325,0.3775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009456385065790496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18842,4.46,0.32,0.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010396362828325234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18843,4.59,0.315,0.3325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01144824450711135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18844,4.34,0.31,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010515071229930006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18851,4.38,0.2925,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009012274526219999,NaN,NaN,NaN,0.0030835794200399992,NaN,NaN,NaN,NaN,NaN,NaN
18852,4.3,0.275,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007192047974112548,NaN,NaN,NaN,0.004700622409189999,NaN,NaN,NaN,NaN,NaN,NaN
18853,4.65,0.2575,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006992369578804336,NaN,NaN,NaN,0.007118587039000002,NaN,NaN,NaN,NaN,NaN,NaN
18854,5.2,0.24,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008479356809494742,NaN,NaN,NaN,0.008836114419239998,NaN,NaN,NaN,NaN,NaN,NaN
18861,5.19,0.235,0.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00784303252349905,NaN,NaN,NaN,0.005108910680510001,NaN,NaN,NaN,NaN,NaN,NaN
18862,5.25,0.23,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007902243455406577,NaN,NaN,NaN,0.004414534812510001,NaN,NaN,NaN,NaN,NaN,NaN
18863,5.51,0.225,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009958826859196801,NaN,NaN,NaN,0.00283686537643,NaN,NaN,NaN,NaN,NaN,NaN
18864,5.64,0.22,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012189132939793845,NaN,NaN,NaN,0.00409829127069,NaN,NaN,NaN,NaN,NaN,NaN
18871,5.67,0.2275,0.3375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010492782255022925,NaN,NaN,NaN,0.004490108215430001,NaN,NaN,NaN,NaN,NaN,NaN
18872,5.73,0.235,0.345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010537337943667735,NaN,NaN,NaN,0.0021968554693100007,NaN,NaN,NaN,NaN,NaN,NaN
18873,5.38,0.2425,0.3525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013322772750413048,NaN,NaN,NaN,0.00603545330276,NaN,NaN,NaN,NaN,NaN,NaN
18874,5.27,0.25,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012322395864098779,NaN,NaN,NaN,0.005576042837089997,NaN,NaN,NaN,NaN,NaN,NaN
18881,5.08,0.245,0.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01050017755396393,NaN,NaN,NaN,0.0023553365291299998,NaN,NaN,NaN,NaN,NaN,NaN
18882,5.01,0.24,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009611500936188566,NaN,NaN,NaN,0.0033101770846100014,NaN,NaN,NaN,NaN,NaN,NaN
18883,5.38,0.235,0.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00905627007762111,NaN,NaN,NaN,0.00408712995691,NaN,NaN,NaN,NaN,NaN,NaN
18884,5.14,0.23,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009848731249953113,NaN,NaN,NaN,0.0030979583770699994,NaN,NaN,NaN,NaN,NaN,NaN
18891,5.19,0.2275,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008819815981659707,NaN,NaN,NaN,0.0016990404213100003,NaN,NaN,NaN,NaN,NaN,NaN
18892,5.41,0.225,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007798641717794874,NaN,NaN,NaN,0.0010297633093100003,NaN,NaN,NaN,NaN,NaN,NaN
18893,5.5,0.2225,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009885530009388521,NaN,NaN,NaN,0.0017688666557399999,NaN,NaN,NaN,NaN,NaN,NaN
18894,5.32,0.22,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012292864721263452,NaN,NaN,NaN,0.0023763671387500014,NaN,NaN,NaN,NaN,NaN,NaN
18901,5.28,0.22,0.2975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010655776726929744,NaN,NaN,NaN,8.227959897399998e-4,NaN,NaN,NaN,NaN,NaN,NaN
18902,5.58,0.22,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010130099762079237,NaN,NaN,NaN,0.0020360299012800007,NaN,NaN,NaN,NaN,NaN,NaN
18903,5.32,0.22,0.2925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011033390776650664,NaN,NaN,NaN,0.0034168858224499993,NaN,NaN,NaN,NaN,NaN,NaN
18904,4.6,0.22,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013692995579595912,NaN,NaN,NaN,0.016345347148289995,NaN,NaN,NaN,NaN,NaN,NaN
18911,4.81,0.22,0.3025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010803753460497889,NaN,NaN,NaN,0.0035077986201300015,NaN,NaN,NaN,NaN,NaN,NaN
18912,4.85,0.22,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010715032097476929,NaN,NaN,NaN,0.004323382053930001,NaN,NaN,NaN,NaN,NaN,NaN
18913,5.33,0.22,0.3275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011581642166835993,NaN,NaN,NaN,0.0046664351179500005,NaN,NaN,NaN,NaN,NaN,NaN
18914,5.41,0.22,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010352073595036648,NaN,NaN,NaN,0.0036259159082599997,NaN,NaN,NaN,NaN,NaN,NaN
18921,5.58,0.225,0.3475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0076580796794099015,NaN,NaN,NaN,0.003891017254699999,NaN,NaN,NaN,NaN,NaN,NaN
18922,5.54,0.23,0.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005993957875431111,NaN,NaN,NaN,0.00211720400248,NaN,NaN,NaN,NaN,NaN,NaN
18923,5.48,0.235,0.3625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00788706552791374,NaN,NaN,NaN,0.00278321839414,NaN,NaN,NaN,NaN,NaN,NaN
18924,5.51,0.24,0.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010596552452148744,NaN,NaN,NaN,0.0020947201063100003,NaN,NaN,NaN,NaN,NaN,NaN
18931,5.31,0.2425,0.3425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01138792721064541,NaN,NaN,NaN,0.0038586691979499996,NaN,NaN,NaN,NaN,NaN,NaN
18932,4.61,0.245,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014380949382068797,NaN,NaN,NaN,0.0106673239465,NaN,NaN,NaN,NaN,NaN,NaN
18933,4.37,0.2475,0.2875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020949612253163385,NaN,NaN,NaN,0.03156931313071001,NaN,NaN,NaN,NaN,NaN,NaN
18934,4.41,0.25,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009225502189343704,NaN,NaN,NaN,0.008489084102810001,NaN,NaN,NaN,NaN,NaN,NaN
18941,4.51,0.24,0.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006164043403015906,NaN,NaN,NaN,0.004715172285580003,NaN,NaN,NaN,NaN,NaN,NaN
18942,4.34,0.23,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005520841195657766,NaN,NaN,NaN,0.0033890462697999998,NaN,NaN,NaN,NaN,NaN,NaN
18943,4.48,0.22,0.185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005823951899774249,NaN,NaN,NaN,0.00416936211584,NaN,NaN,NaN,NaN,NaN,NaN
18944,4.3,0.21,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005143837111307947,NaN,NaN,NaN,0.0044651576741,NaN,NaN,NaN,NaN,NaN,NaN
18951,4.19,0.205,0.1825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006770319218335263,NaN,NaN,NaN,0.003497176628499998,NaN,NaN,NaN,NaN,NaN,NaN
18952,4.7,0.2,0.205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00583077311385205,NaN,NaN,NaN,0.004809580837940001,NaN,NaN,NaN,NaN,NaN,NaN
18953,4.82,0.195,0.2275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006629660375414126,NaN,NaN,NaN,0.00343813515769,NaN,NaN,NaN,NaN,NaN,NaN
18954,4.32,0.19,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009012143570368725,NaN,NaN,NaN,0.016944813106749997,NaN,NaN,NaN,NaN,NaN,NaN
18961,4.38,0.1875,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011507397033318156,NaN,NaN,NaN,0.00673092904933,NaN,NaN,NaN,NaN,NaN,NaN
18962,4.32,0.185,0.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009300655342403985,NaN,NaN,NaN,0.006051778298470001,NaN,NaN,NaN,NaN,NaN,NaN
18963,4.01,0.1825,0.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014565050456513573,NaN,NaN,NaN,0.019960208090210003,NaN,NaN,NaN,NaN,NaN,NaN
18964,4.22,0.18,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011797887488120384,NaN,NaN,NaN,0.013690319070510003,NaN,NaN,NaN,NaN,NaN,NaN
18971,4.19,0.18,0.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006038359432354312,NaN,NaN,NaN,0.00437218815885,NaN,NaN,NaN,NaN,NaN,NaN
18972,4.27,0.18,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006437644183079794,NaN,NaN,NaN,0.0043428483068,NaN,NaN,NaN,NaN,NaN,NaN
18973,4.98,0.18,0.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00720675858799269,NaN,NaN,NaN,0.00619621272865,NaN,NaN,NaN,NaN,NaN,NaN
18974,4.75,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0070365399821410435,NaN,NaN,NaN,0.0078402682494,NaN,NaN,NaN,NaN,NaN,NaN
18981,4.65,0.185,0.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007058173908392362,NaN,NaN,NaN,0.0158459920903,NaN,NaN,NaN,NaN,NaN,NaN
18982,5.06,0.19,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00899576559542159,NaN,NaN,NaN,0.01026957136733,NaN,NaN,NaN,NaN,NaN,NaN
18983,5.26,0.195,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007347361003850361,NaN,NaN,NaN,0.0036464420824999996,NaN,NaN,NaN,NaN,NaN,NaN
18984,5.65,0.2,0.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0061122971174829566,NaN,NaN,NaN,0.0026624023171200007,NaN,NaN,NaN,NaN,NaN,NaN
18991,6.4,0.2025,0.3825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006163809124952069,NaN,NaN,NaN,0.0038971960069600015,NaN,NaN,NaN,NaN,NaN,NaN
18992,6.07,0.205,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006748271939235995,NaN,NaN,NaN,0.007834832989799999,NaN,NaN,NaN,NaN,NaN,NaN
18993,6.37,0.2075,0.4475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008486391578651054,NaN,NaN,NaN,0.0032737591799400006,NaN,NaN,NaN,NaN,NaN,NaN
18994,6.02,0.21,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111074667389639,NaN,NaN,NaN,0.012090753724919998,NaN,NaN,NaN,NaN,NaN,NaN
19001,6.26,0.2325,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009419299709123807,NaN,NaN,NaN,0.004492206379009999,NaN,NaN,NaN,NaN,NaN,NaN
19002,5.86,0.255,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007510069259998753,NaN,NaN,NaN,0.004688247659300001,NaN,NaN,NaN,NaN,NaN,NaN
19003,5.8,0.2775,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008198221949657691,NaN,NaN,NaN,0.003037831119809999,NaN,NaN,NaN,NaN,NaN,NaN
19004,6.87,0.3,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009411875397843383,NaN,NaN,NaN,0.004941829240869998,NaN,NaN,NaN,NaN,NaN,NaN
19011,7.51,0.305,0.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00739178620036296,NaN,NaN,NaN,0.003920420793970002,NaN,NaN,NaN,NaN,NaN,NaN
19012,8.5,0.31,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0076951310975359455,NaN,NaN,NaN,0.018050104335959993,NaN,NaN,NaN,NaN,NaN,NaN
19013,8,0.315,0.495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009071385007473953,NaN,NaN,NaN,0.01227040304108,NaN,NaN,NaN,NaN,NaN,NaN
19014,7.95,0.32,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009493392498318931,NaN,NaN,NaN,0.0030520584005699998,NaN,NaN,NaN,NaN,NaN,NaN
19021,8.2,0.3225,0.5325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008405367124021845,NaN,NaN,NaN,0.0017024393423100003,NaN,NaN,NaN,NaN,NaN,NaN
19022,8.41,0.325,0.565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008856862925577413,NaN,NaN,NaN,0.0021190743777999995,NaN,NaN,NaN,NaN,NaN,NaN
19023,8.85,0.3275,0.5975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010055769238588308,NaN,NaN,NaN,0.00408457479495,NaN,NaN,NaN,NaN,NaN,NaN
19024,8.05,0.33,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011996489231236085,NaN,NaN,NaN,0.005486939198140001,NaN,NaN,NaN,NaN,NaN,NaN
19031,8.08,0.335,0.605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01042611623411771,NaN,NaN,NaN,0.00285610937689,NaN,NaN,NaN,NaN,NaN,NaN
19032,7.18,0.34,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010041191874233357,NaN,NaN,NaN,0.005574498248550001,NaN,NaN,NaN,NaN,NaN,NaN
19033,6.47,0.345,0.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011766745864413508,NaN,NaN,NaN,0.010152712916090002,NaN,NaN,NaN,NaN,NaN,NaN
19034,6.57,0.35,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011974276225955593,NaN,NaN,NaN,0.006162261358879999,NaN,NaN,NaN,NaN,NaN,NaN
19041,6.48,0.34,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00951561424356484,NaN,NaN,NaN,0.00395183191372,NaN,NaN,NaN,NaN,NaN,NaN
19042,6.51,0.33,0.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007480534672195116,NaN,NaN,NaN,0.00101823890818,NaN,NaN,NaN,NaN,NaN,NaN
19043,7.32,0.32,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007576597151804254,NaN,NaN,NaN,0.0022750305932900004,NaN,NaN,NaN,NaN,NaN,NaN
19044,8.25,0.31,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008383218535205739,NaN,NaN,NaN,0.005423738632640001,NaN,NaN,NaN,NaN,NaN,NaN
19051,9.05,0.315,0.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007584155390993219,NaN,NaN,NaN,0.0024355237108600004,NaN,NaN,NaN,NaN,NaN,NaN
19052,8.6,0.32,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007561949076001273,NaN,NaN,NaN,0.007027879195160001,NaN,NaN,NaN,NaN,NaN,NaN
19053,9.23,0.325,0.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008553324117373418,NaN,NaN,NaN,0.0033689371464800002,NaN,NaN,NaN,NaN,NaN,NaN
19054,9.54,0.33,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010996290261099162,NaN,NaN,NaN,0.00280466535441,NaN,NaN,NaN,NaN,NaN,NaN
19061,9.56,0.3475,0.6925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010270763175986408,NaN,NaN,NaN,0.0038326913121200005,NaN,NaN,NaN,NaN,NaN,NaN
19062,9.3,0.365,0.715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010752100772191353,NaN,NaN,NaN,0.00616569063237,NaN,NaN,NaN,NaN,NaN,NaN
19063,10.03,0.3825,0.7375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012211036139901266,NaN,NaN,NaN,0.0035979087020800013,NaN,NaN,NaN,NaN,NaN,NaN
19064,9.84,0.4,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012818976529485715,NaN,NaN,NaN,0.0034956332470099994,NaN,NaN,NaN,NaN,NaN,NaN
